,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,itemReviewed,reviewRating,author,publisher,Price,desc_new,Trim
199,2022 Ford Mustang,2022.0,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002297875/post-large/normalized/zoomcrop/2002297875-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 2390 miles - $33,590",2390.0,2002297875.0,1FA6P8TH6N5144447,,,,," $33,590",2022 Ford Mustang EcoBoost,EcoBoost
200,2009 Ford Mustang,2009.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002290692/post-large/normalized/zoomcrop/2002290692-edc-02.jpg,Ford,"Used 2009 Ford Mustang Shelby GT500 with 70786 miles - $33,990",70786.0,2002290692.0,1ZVHT88S595133171,,,,," $33,990",2009 Ford Mustang Shelby GT500,Shelby GT500
201,2021 Ford Mustang,2021.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002274863/post-large/normalized/zoomcrop/2002274863-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 38008 miles - $28,990",38008.0,2002274863.0,1FATP8UH1M5103921,,,,," $28,990",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
202,2014 Ford Mustang,2014.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002357984/post-large/normalized/zoomcrop/2002357984-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 Premium with 97722 miles - $17,990",97722.0,2002357984.0,1ZVBP8EM1E5266469,,,,," $17,990",2014 Ford Mustang V6 Premium,V6 Premium
203,2019 Ford Mustang,2019.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002285366/post-large/normalized/zoomcrop/2002285366-edc-02.jpg,Ford,"Used 2019 Ford Mustang GT Premium with 65412 miles - $29,990",65412.0,2002285366.0,1FATP8FFXK5150146,,,,," $29,990",2019 Ford Mustang GT Premium,GT Premium
204,2021 Ford Mustang,2021.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002363291/post-large/normalized/zoomcrop/2002363291-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 48705 miles - $28,590",48705.0,2002363291.0,1FATP8UH9M5105920,,,,," $28,590",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
205,2021 Ford Mustang,2021.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002346329/post-large/normalized/zoomcrop/2002346329-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 39409 miles - $29,590",39409.0,2002346329.0,1FATP8UH6M5124957,,,,," $29,590",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
206,2017 Ford Mustang,2017.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002361710/post-large/normalized/zoomcrop/2002361710-edc-02.jpg,Ford,"Used 2017 Ford Mustang V6 with 38364 miles - $26,990",38364.0,2002361710.0,1FATP8EM4H5239462,,,,," $26,990",2017 Ford Mustang V6,V6
207,2017 Ford Mustang,2017.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002301968/post-large/normalized/zoomcrop/2002301968-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 33701 miles - $30,990",33701.0,2002301968.0,1FA6P8CF9H5250703,,,,," $30,990",2017 Ford Mustang GT,GT
208,2012 Ford Mustang,2012.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002344130/post-large/normalized/zoomcrop/2002344130-edc-02.jpg,Ford,"Used 2012 Ford Mustang Premium with 41353 miles - $18,990",41353.0,2002344130.0,1ZVBP8EM2C5243733,,,,," $18,990",2012 Ford Mustang Premium,Premium
209,2015 Ford Mustang,2015.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002351419/post-large/normalized/zoomcrop/2002351419-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost Premium with 52497 miles - $24,990",52497.0,2002351419.0,1FA6P8TH9F5352887,,,,," $24,990",2015 Ford Mustang EcoBoost Premium,EcoBoost Premium
210,2021 Ford Mustang,2021.0,Ford,Mustang,Other,//cdnblob.fastly.carvana.io/2002328292/post-large/normalized/zoomcrop/2002328292-edc-02.jpg,Ford,"Used 2021 Ford Mustang GT Premium with 60251 miles - $38,990",60251.0,2002328292.0,1FATP8FF0M5103114,,,,," $38,990",2021 Ford Mustang GT Premium,GT Premium
211,2021 Ford Mustang,2021.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002349580/post-large/normalized/zoomcrop/2002349580-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost with 57488 miles - $28,990",57488.0,2002349580.0,1FATP8UH3M5101863,,,,," $28,990",2021 Ford Mustang EcoBoost,EcoBoost
212,2020 Ford Mustang,2020.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002319387/post-large/normalized/zoomcrop/2002319387-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 27288 miles - $28,990",27288.0,2002319387.0,1FA6P8TH7L5176658,,,,," $28,990",2020 Ford Mustang EcoBoost,EcoBoost
213,2021 Ford Mustang,2021.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002346328/post-large/normalized/zoomcrop/2002346328-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 39239 miles - $28,590",39239.0,2002346328.0,1FATP8UH5M5122214,,,,," $28,590",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
214,2021 Ford Mustang,2021.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002346326/post-large/normalized/zoomcrop/2002346326-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 46881 miles - $28,990",46881.0,2002346326.0,1FATP8UH3M5125404,,,,," $28,990",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
215,2014 Ford Mustang,2014.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002332420/post-large/normalized/zoomcrop/2002332420-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 85620 miles - $18,590",85620.0,2002332420.0,1ZVBP8AM2E5294786,,,,," $18,590",2014 Ford Mustang V6,V6
216,2018 Ford Mustang,2018.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002320163/post-large/normalized/zoomcrop/2002320163-edc-02.jpg,Ford,"Used 2018 Ford Mustang EcoBoost with 43499 miles - $25,590",43499.0,2002320163.0,1FA6P8TH0J5172500,,,,," $25,590",2018 Ford Mustang EcoBoost,EcoBoost
217,2020 Ford Mustang,2020.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002321674/post-large/normalized/zoomcrop/2002321674-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT Premium with 21226 miles - $39,590",21226.0,2002321674.0,1FA6P8CF7L5171541,,,,," $39,590",2020 Ford Mustang GT Premium,GT Premium
220,2021 Ford Mustang,2021.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002327088/post-large/normalized/zoomcrop/2002327088-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 54096 miles - $25,990",54096.0,2002327088.0,1FATP8UHXM5120622,,,,," $25,990",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
221,2012 Ford Mustang,2012.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002321308/post-large/normalized/zoomcrop/2002321308-edc-02.jpg,Ford,"Used 2012 Ford Mustang GT Premium with 75111 miles - $21,990",75111.0,2002321308.0,1ZVBP8FF3C5203239,,,,," $21,990",2012 Ford Mustang GT Premium,GT Premium
222,2018 Ford Mustang,2018.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002323553/post-large/normalized/zoomcrop/2002323553-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT Premium with 49818 miles - $31,990",49818.0,2002323553.0,1FATP8FF2J5119374,,,,," $31,990",2018 Ford Mustang GT Premium,GT Premium
223,2018 Ford Mustang,2018.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002301434/post-large/normalized/zoomcrop/2002301434-edc-02.jpg,Ford,"Used 2018 Ford Mustang EcoBoost with 22171 miles - $25,590",22171.0,2002301434.0,1FA6P8TH1J5108823,,,,," $25,590",2018 Ford Mustang EcoBoost,EcoBoost
224,2020 Ford Mustang,2020.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002262442/post-large/normalized/zoomcrop/2002262442-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 22490 miles - $26,990",22490.0,2002262442.0,1FA6P8TH8L5130482,,,,," $26,990",2020 Ford Mustang EcoBoost,EcoBoost
225,2016 Ford Mustang,2016.0,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002306425/post-large/normalized/zoomcrop/2002306425-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 45319 miles - $31,990",45319.0,2002306425.0,1FA6P8CF5G5242659,,,,," $31,990",2016 Ford Mustang GT Premium,GT Premium
226,2016 Ford Mustang,2016.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002276614/post-large/normalized/zoomcrop/2002276614-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 51076 miles - $22,990",51076.0,2002276614.0,1FA6P8TH8G5295311,,,,," $22,990",2016 Ford Mustang EcoBoost Premium,EcoBoost Premium
227,2012 Ford Mustang,2012.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002277573/post-large/normalized/zoomcrop/2002277573-edc-02.jpg,Ford,"Used 2012 Ford Mustang Boss 302 with 8754 miles - $38,590",8754.0,2002277573.0,1ZVBP8CU6C5242099,,,,," $38,590",2012 Ford Mustang Boss 302,Boss 302
228,2016 Ford Mustang,2016.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002253544/post-large/normalized/zoomcrop/2002253544-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost with 101146 miles - $20,990",101146.0,2002253544.0,1FA6P8TH9G5209424,,,,," $20,990",2016 Ford Mustang EcoBoost,EcoBoost
229,2018 Ford Mustang,2018.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002336121/post-large/normalized/zoomcrop/2002336121-edc-02.jpg,Ford,"Used 2018 Ford Mustang EcoBoost Premium with 71715 miles - $24,990",71715.0,2002336121.0,1FATP8UH9J5177440,,,,," $24,990",2018 Ford Mustang EcoBoost Premium,EcoBoost Premium
230,2016 Ford Mustang,2016.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002341420/post-large/normalized/zoomcrop/2002341420-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 53346 miles - $24,990",53346.0,2002341420.0,1FATP8UH6G5281795,,,,," $24,990",2016 Ford Mustang EcoBoost Premium,EcoBoost Premium
231,2011 Ford Mustang,2011.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002369743/post-large/normalized/zoomcrop/2002369743-edc-02.jpg,Ford,"Used 2011 Ford Mustang GT Premium with 12115 miles - $30,990",12115.0,2002369743.0,1ZVBP8CF6B5159935,,,,," $30,990",2011 Ford Mustang GT Premium,GT Premium
232,2016 Ford Mustang,2016.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002358048/post-large/normalized/zoomcrop/2002358048-edc-02.jpg,Ford,"Used 2016 Ford Mustang V6 with 93562 miles - $20,990",93562.0,2002358048.0,1FATP8EM8G5311939,,,,," $20,990",2016 Ford Mustang V6,V6
233,2015 Ford Mustang,2015.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002355311/post-large/normalized/zoomcrop/2002355311-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost Premium with 41142 miles - $25,990",41142.0,2002355311.0,1FATP8UH4F5340454,,,,," $25,990",2015 Ford Mustang EcoBoost Premium,EcoBoost Premium
234,2020 Ford Mustang,2020.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002337665/post-large/normalized/zoomcrop/2002337665-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT with 9127 miles - $39,990",9127.0,2002337665.0,1FA6P8CF3L5142120,,,,," $39,990",2020 Ford Mustang GT,GT
235,2012 Ford Mustang,2012.0,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002336915/post-large/normalized/zoomcrop/2002336915-edc-02.jpg,Ford,"Used 2012 Ford Mustang Boss 302 with 44515 miles - $36,990",44515.0,2002336915.0,1ZVBP8CU5C5206078,,,,," $36,990",2012 Ford Mustang Boss 302,Boss 302
236,2017 Ford Mustang,2017.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002304082/post-large/normalized/zoomcrop/2002304082-edc-02.jpg,Ford,"Used 2017 Ford Mustang V6 with 30806 miles - $24,990",30806.0,2002304082.0,1FA6P8AM1H5304660,,,,," $24,990",2017 Ford Mustang V6,V6
237,2015 Ford Mustang,2015.0,Ford,Mustang,Other,//cdnblob.fastly.carvana.io/2002312498/post-large/normalized/zoomcrop/2002312498-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost with 37766 miles - $23,990",37766.0,2002312498.0,1FA6P8TH1F5411186,,,,," $23,990",2015 Ford Mustang EcoBoost,EcoBoost
238,2019 Ford Mustang,2019.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002305027/post-large/normalized/zoomcrop/2002305027-edc-02.jpg,Ford,"Used 2019 Ford Mustang GT Premium with 22535 miles - $38,590",22535.0,2002305027.0,1FA6P8CF1K5176524,,,,," $38,590",2019 Ford Mustang GT Premium,GT Premium
239,2013 Ford Mustang,2013.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002224376/post-large/normalized/zoomcrop/2002224376-edc-02.jpg,Ford,"Used 2013 Ford Mustang GT Premium with 37617 miles - $25,990",37617.0,2002224376.0,1ZVBP8FF6D5270385,,,,," $25,990",2013 Ford Mustang GT Premium,GT Premium
242,2019 Ford Mustang,2019.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002348920/post-large/normalized/zoomcrop/2002348920-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost Premium with 36992 miles - $27,990",36992.0,2002348920.0,1FATP8UH0K5161466,,,,," $27,990",2019 Ford Mustang EcoBoost Premium,EcoBoost Premium
243,2014 Ford Mustang,2014.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002335845/post-large/normalized/zoomcrop/2002335845-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 Premium with 16206 miles - $23,990",16206.0,2002335845.0,1ZVBP8EM2E5323228,,,,," $23,990",2014 Ford Mustang V6 Premium,V6 Premium
244,2018 Ford Mustang,2018.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002299232/post-large/normalized/zoomcrop/2002299232-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 21069 miles - $36,990",21069.0,2002299232.0,1FA6P8CFXJ5144170,,,,," $36,990",2018 Ford Mustang GT,GT
245,2015 Ford Mustang,2015.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002354893/post-large/normalized/zoomcrop/2002354893-edc-02.jpg,Ford,"Used 2015 Ford Mustang V6 with 18134 miles - $26,990",18134.0,2002354893.0,1FA6P8AM3F5347801,,,,," $26,990",2015 Ford Mustang V6,V6
