,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement,itemReviewed,reviewRating,author,publisher
38,https://schema.org,Vehicle,Used,2018 Ford Mustang,2018,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002337307/post-large/normalized/zoomcrop/2002337307-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13049 miles - $37,590",13049,2002337307,1FA6P8CF3J5117019,"{'@type': 'Offer', 'price': 37590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2711962'}",,,,,
39,https://schema.org,Vehicle,Used,2020 Ford Mustang,2020,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002338479/post-large/normalized/zoomcrop/2002338479-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT with 32591 miles - $35,590",32591,2002338479,1FA6P8CF0L5149591,"{'@type': 'Offer', 'price': 35590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2711964'}",,,,,
40,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002308536/post-large/2002308536-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 21492 miles - $28,988",21492,2002308536,1FA6P8TH7N5103888,"{'@type': 'Offer', 'price': 28988, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2727351'}",,,,,
41,https://schema.org,Vehicle,Used,2016 Ford Mustang,2016,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002334569/post-large/normalized/zoomcrop/2002334569-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost with 59334 miles - $23,590",59334,2002334569,1FA6P8TH6G5272738,"{'@type': 'Offer', 'price': 23590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2714701'}",,,,,
42,https://schema.org,BreadcrumbList,,,,,,,,,,,,,,"[{'@type': 'ListItem', 'position': 0, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': 'Ford'}}, {'@type': 'ListItem', 'position': 1, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': 'Ford Mustang'}}]",,,,
43,http://schema.org,Review,,,,,,,,,,,,,,,"{'@type': 'Car', 'name': 'Ford Mustang', 'brand': 'Ford', 'model': 'Mustang', 'vehicleModelDate': ''}","{'@type': 'AggregateRating', 'ratingValue': '4.36', 'ratingCount': '636', 'worstRating': '0.17', 'bestRating': '5.00'}","{'@type': 'Organization', 'name': 'Carvana'}","{'@type': 'Organization', 'name': 'Carvana'}"
44,https://schema.org,Vehicle,Used,2012 Ford Mustang,2012,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002278586/post-large/normalized/zoomcrop/2002278586-edc-02.jpg,Ford,"Used 2012 Ford Mustang Boss 302 with 16438 miles - $37,590",16438,2002278586,1ZVBP8CU4C5202572,"{'@type': 'Offer', 'price': 37590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2679457'}",,,,,
45,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002299497/post-large/normalized/zoomcrop/2002299497-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 5528 miles - $30,590",5528,2002299497,1FA6P8TH1N5133677,"{'@type': 'Offer', 'price': 30590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699516'}",,,,,
46,https://schema.org,Vehicle,Used,2015 Ford Mustang,2015,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002287993/post-large/normalized/zoomcrop/2002287993-edc-02.jpg,Ford,"Used 2015 Ford Mustang GT Premium with 50126 miles - $30,590",50126,2002287993,1FA6P8CF1F5313404,"{'@type': 'Offer', 'price': 30590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2689955'}",,,,,
47,https://schema.org,Vehicle,Used,2015 Ford Mustang,2015,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002321927/post-large/normalized/zoomcrop/2002321927-edc-02.jpg,Ford,"Used 2015 Ford Mustang GT Premium with 44194 miles - $31,590",44194,2002321927,1FA6P8CF1F5385834,"{'@type': 'Offer', 'price': 31590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2704101'}",,,,,
